state,2023,2022,2019,2018,2017,2016,2015,2014,2013,2012
Alabama,94.3,89.68,89.39,92.75,97.25,92.81,95.6,84.91,85.88,78.65
Alaska,38.98,93.51,96.11,91.21,82.65,79.15,73.54,85.66,87.88,93.08
Arizona,91.47,90.46,93.8,90.37,93.49,93.69,92.93,91.92,91.21,93.07
Arkansas,67.38,75.2,88.96,87.03,82.47,88.56,93.26,92.42,90.57,85.98
California,82.07,79.84,93.08,94.79,93.22,91.47,89.64,86.82,86.57,84.71
Colorado,74.91,74.22,87.36,90.15,97.37,98.18,94.13,91.91,94.94,91.64
Connecticut,93.81,93.07,95.03,96.47,97.95,97.52,94.35,80.21,57.36,56.71
Delaware,89.72,79.41,93.88,93.01,96.32,85.26,75.0,73.93,85.51,84.62
District of Columbia,48.13,42.86,93.84,93.79,86.34,93.09,95.08,94.53,97.62,96.41
Florida,64.38,72.92,98.15,96.44,96.62,92.79,94.57,88.65,94.07,91.91
Georgia,78.09,68.0,82.84,75.22,89.57,88.51,80.5,64.82,77.99,81.08
Hawaii,75.35,77.04,96.17,98.5,95.28,94.64,94.43,94.41,91.95,81.77
Idaho,98.15,100.0,99.71,99.19,99.66,98.58,99.13,99.61,98.98,99.28
Illinois,95.85,96.09,86.05,69.63,86.4,71.89,84.82,63.36,82.13,66.03
Indiana,78.17,84.8,92.54,91.85,96.0,93.59,90.26,90.91,87.86,88.25
Iowa,77.73,78.34,82.56,87.54,86.96,85.92,80.82,89.1,90.64,85.51
Kansas,81.28,74.03,93.3,91.77,94.42,92.39,88.41,88.24,92.36,85.87
Kentucky,76.14,89.86,94.98,90.66,92.47,94.58,94.03,90.21,98.41,97.26
Louisiana,94.12,92.94,90.37,94.93,94.76,94.88,90.15,84.67,87.17,80.47
Maine,88.89,90.7,75.82,86.21,92.31,91.14,78.98,84.25,92.51,91.54
Maryland,84.8,89.16,86.87,87.54,88.24,87.0,86.42,86.74,89.78,87.29
Massachusetts,85.91,93.63,90.2,92.56,92.18,89.25,83.16,85.05,83.78,87.44
Michigan,77.66,82.72,88.34,93.7,88.89,89.52,89.84,85.58,89.52,91.86
Minnesota,85.89,87.98,92.48,92.83,92.42,87.71,,89.46,91.52,94.06
Mississippi,83.25,81.0,88.07,89.07,91.4,94.79,92.5,94.88,95.13,93.88
Missouri,85.32,77.21,88.63,95.26,95.67,87.71,81.45,84.0,82.88,84.72
Montana,74.76,86.61,91.18,94.04,95.24,91.69,93.71,93.29,88.62,93.29
Nebraska,91.2,89.22,95.74,95.92,93.67,94.54,90.68,65.8,68.03,70.07
Nevada,93.58,96.48,97.7,96.68,95.63,96.63,91.15,83.93,73.9,81.96
New Hampshire,91.67,92.63,90.24,93.79,97.08,92.24,96.94,92.89,91.12,91.58
New Jersey,82.08,95.21,85.51,81.36,85.87,85.78,85.25,76.57,68.81,60.7
New Mexico,66.34,92.42,99.19,98.68,97.67,86.81,98.63,85.75,98.64,97.85
New York,60.45,71.08,88.89,88.59,90.77,89.45,87.08,83.36,91.89,90.38
North Carolina,91.98,94.42,95.74,92.51,96.56,92.67,82.69,72.63,75.36,87.62
North Dakota,52.94,75.78,88.28,93.85,92.72,97.25,96.38,97.14,97.24,96.62
Ohio,92.54,93.16,91.55,85.77,91.85,94.4,86.27,79.72,80.47,79.56
Oklahoma,89.54,87.88,96.19,93.6,93.11,95.19,95.16,93.63,91.5,92.05
Oregon,79.84,74.46,92.27,96.06,94.33,95.36,95.54,91.72,90.58,92.98
Pennsylvania,92.06,92.86,95.93,97.52,98.67,95.98,93.59,85.54,80.0,75.78
Rhode Island,90.11,91.74,98.47,92.41,85.25,93.53,93.23,91.93,91.87,91.49
South Carolina,71.49,84.88,81.03,83.91,86.19,86.72,88.93,89.4,76.76,82.77
South Dakota,89.23,88.89,94.02,91.67,92.73,94.77,94.39,91.85,96.02,94.71
Tennessee,70.48,82.99,90.37,78.44,81.12,87.14,90.53,84.59,78.44,78.81
Texas,82.7,82.37,95.06,95.63,94.98,90.0,88.57,90.06,93.53,88.63
Utah,96.35,96.77,95.14,94.18,97.78,93.99,95.71,89.64,93.75,94.04
Vermont,90.3,89.36,94.52,87.79,90.86,89.37,91.35,79.46,85.58,73.6
Virginia,87.73,89.11,88.59,88.09,87.23,90.75,91.48,93.32,91.57,91.98
Washington,94.09,87.44,94.66,92.61,93.2,90.22,90.67,93.13,93.1,90.22
West Virginia,82.61,83.59,91.54,95.59,87.01,88.93,84.54,91.15,90.1,93.82
Wisconsin,97.45,97.74,96.8,97.39,96.15,95.92,93.33,95.87,91.85,87.14
Wyoming,92.31,94.68,97.85,94.59,95.95,95.62,96.32,94.7,90.18,88.93
